Giocatore,Giornata,Team,Role,Score,Prob_Gol,Pred_Gol_Pesata,GolUlt3,Score_norm,GolUlt3_norm,Score_Composito,Etichetta
luca marianucci,G38,Empoli,D,0.4700532412145431,0.0,0.0,0,0.0470053241214543,0.0,0.0235026620607271,0.0
petar stojanovic,G38,Empoli,D,0.4700532412145431,0.0,0.0,0,0.0470053241214543,0.0,0.0235026620607271,0.0
saba goglichidze,G38,Empoli,D,0.4700532412145431,0.0,0.0,0,0.0470053241214543,0.0,0.0235026620607271,0.0
sebastian walukiewicz,G38,Empoli,D,7.558641888152695,0.0,0.0,0,0.7558641888152695,0.0,0.3779320944076347,0.0
sebastiano luperto,G38,Empoli,D,8.13698629118237,0.0219,0.0611,0,0.8136986291182369,0.0,0.4317493145591184,0.0
tyronne ebuehi,G38,Empoli,D,0.5442721740378921,0.0,0.0,0,0.0544272174037892,0.0,0.0272136087018946,0.0
christian dalle mura,G38,Fiorentina,D,0.4179697795841228,0.0,0.0,0,0.0417969779584122,0.0,0.0208984889792061,0.0
cristiano biraghi,G38,Fiorentina,D,7.6193473962816975,0.1758,0.1023,1,0.7619347396281697,0.3333333333333333,0.5310640364807515,1.0
dodo,G38,Fiorentina,D,0.4492198565623751,0.0,0.0,0,0.0449219856562375,0.0,0.0224609928281187,0.0
fabiano parisi,G38,Fiorentina,D,6.9553786706947465,0.0,0.0,0,0.6955378670694746,0.0,0.3477689335347373,0.0
luca ranieri,G38,Fiorentina,D,7.760450326706265,0.0475,0.0736,0,0.7760450326706265,0.0,0.4243525163353132,0.0
lucas martinez quarta,G38,Fiorentina,D,8.154400264593122,0.1265,0.1338,0,0.8154400264593121,0.0,0.485810013229656,1.0
michael kayode,G38,Fiorentina,D,7.440304494130499,0.0219,0.0611,0,0.74403044941305,0.0,0.3969152247065249,0.0
nikola milenkovic,G38,Fiorentina,D,7.646326908606096,0.0,0.0,0,0.7646326908606096,0.0,0.3823163454303048,0.0
pietro comuzzo,G38,Fiorentina,D,0.3919280487689127,0.0,0.0,0,0.0391928048768912,0.0,0.0195964024384456,0.0
anthony oyono,G38,Frosinone,D,0.2838548658857905,0.0,0.0,0,0.028385486588579,0.0,0.0141927432942895,0.0
emanuele valeri,G38,Frosinone,D,0.3307299813531688,0.0,0.0,0,0.0330729981353168,0.0,0.0165364990676584,0.0
ilario monterisi,G38,Frosinone,D,6.912791151071648,0.0475,0.0736,0,0.6912791151071648,0.0,0.3819695575535824,0.0
kevin bonifazi,G38,Frosinone,D,0.3164070294048032,0.0,0.0,0,0.0316407029404803,0.0,0.0158203514702401,0.0
mateus lusuardi,G38,Frosinone,D,0.2630214812336224,0.0,0.0,0,0.0263021481233622,0.0,0.0131510740616811,0.0
memeh caleb okoli,G38,Frosinone,D,7.312237226705216,0.0,0.0,0,0.7312237226705216,0.0,0.3656118613352608,0.0
nadir zortea,G38,Frosinone,D,6.350066139079727,0.0356,0.0963,0,0.6350066139079728,0.0,0.3570733069539863,0.0
