Giocatore,Giornata,Team,Role,Score,Prob_Gol,Pred_Gol_Pesata
franz stolz,G6,Genoa,P,0.0,0.0,0.0
gianluca pegolo,G6,Sassuolo,P,0.0,0.0,0.0
giacomo toniolo,G6,Verona,P,0.0,0.0,0.0
simone aresti,G6,Cagliari,P,0.0,0.0,0.0
antonio mirante,G6,AC Milan,P,0.0,0.0,0.0
alexandru borbei,G6,Lecce,P,0.0,0.0,0.0
alessandro berardi,G6,Verona,P,0.0,0.0,0.0
tommaso vannucchi,G6,Fiorentina,P,0.0,0.0,0.0
tommaso martinelli,G6,Fiorentina,P,0.0,0.0,0.0
andrea bartoccioni,G6,AC Milan,P,0.0,0.0,0.0
stefano gori,G6,Monza,P,0.0,0.0,0.0
jasper samooja,G6,Lecce,P,0.0,0.0,0.0
lapo nava,G6,AC Milan,P,0.0,0.0,0.0
hubert idasiak,G6,Napoli,P,0.0,0.0,0.0
lorenzo torriani,G6,AC Milan,P,0.0,0.0,0.0
vanja milinkovic-savic,G7,Torino,P,10.0,0.0,0.0
yann sommer,G7,Inter,P,9.941126241517232,0.0,0.0
wojciech szczesny,G7,Juventus,P,8.7465731877219,0.0,0.0
michele di gregorio,G7,Monza,P,8.336254550357287,0.0,0.0
lukasz skorupski,G7,Bologna,P,8.150195496831603,0.0,0.0
mike maignan,G7,AC Milan,P,7.2239449912363485,0.0,0.0
ivan provedel,G7,Lazio,P,7.020808053570625,0.0,0.0
marco carnesecchi,G7,Atalanta,P,6.906655880634578,0.0,0.0
josep martinez,G7,Genoa,P,6.847332704148128,0.0,0.0
pietro terracciano,G7,Fiorentina,P,6.720596827108893,0.0,0.0
lorenzo montipo,G7,Verona,P,6.697227090917261,0.0,0.0
wladimiro falcone,G7,Lecce,P,6.397465282459216,0.0,0.0
elia caprile,G7,Empoli,P,6.204215540874567,0.0,0.0
rui patricio,G7,Roma,P,5.942654262729764,0.0,0.0
maduka okoye,G7,Udinese,P,5.898611298368613,0.0,0.0
alex meret,G7,Napoli,P,5.569637319671027,0.0,0.0
stefano turati,G7,Frosinone,P,5.078872859646755,0.0,0.0
andrea consigli,G7,Sassuolo,P,4.835737719653049,0.0,0.0
simone scuffet,G7,Cagliari,P,4.832591793627252,0.0,0.0
guillermo ochoa,G7,Salernitana,P,4.0919509235539975,0.0,0.0
juan musso,G7,Atalanta,P,1.6179048132668192,0.0,0.0
mile svilar,G7,Roma,P,1.3482540110556829,0.0,0.0
federico ravaglia,G7,Bologna,P,1.0786032088445463,0.0,0.0
marco silvestri,G7,Udinese,P,1.0786032088445463,0.0,0.0
