Giocatore,Team,Role,Score_norm,Prob_Gol,Pred_Gol_Pesata,Etichetta_Predetta
giulio donati,Monza,D,0.0686199606980787,0.0,0.0,non consigliato
dimitrije kamenovic,Lazio,D,0.0678387087736224,0.0,0.0,non consigliato
rick karsdorp,Roma,D,0.0666668308869379,0.0,0.0,non consigliato
matteo gabbia,AC Milan,D,0.0665366222328619,0.0463,0.0963,non consigliato
pierre kalulu,AC Milan,D,0.0636720318431888,0.0,0.0,non consigliato
mattia caldara,AC Milan,D,0.0628907799187325,0.0,0.0,non consigliato
valentin antov,Monza,D,0.0626303626105804,0.0,0.0,non consigliato
mario sampirisi,Monza,D,0.0626303626105804,0.0,0.0,non consigliato
clinton nsiala-makengo,AC Milan,D,0.0626303626105804,0.0,0.0,non consigliato
davide bartesaghi,AC Milan,D,0.0626303626105804,0.0,0.0,non consigliato
armando anastasio,Monza,D,0.0626303626105804,0.0,0.0,non consigliato
davide bettella,Monza,D,0.0626303626105804,0.0,0.0,non consigliato
alejandro jimenez,AC Milan,D,0.0619793193402001,0.0,0.0,non consigliato
rafael toloi,Atalanta,D,0.0593751462586791,0.0,0.0,non consigliato
chris smalling,Roma,D,0.0576824337556904,0.0,0.0,non consigliato
lovro golic,Roma,D,0.0574220164475383,0.0,0.0,non consigliato
mehmet zeki celik,Roma,D,0.0571615991393862,0.0,0.0,non consigliato
angelino,Roma,D,0.0563803472149299,0.0,0.0,non consigliato
tyronne ebuehi,Empoli,D,0.0544272174037892,0.0,0.0,non consigliato
riccardo marchizza,Frosinone,D,0.0523438789385723,0.0,0.0,non consigliato
dean huijsen,Roma,D,0.0520834616304203,0.0463,0.0736,non consigliato
ridgeciano haps,Genoa,D,0.0481772020081387,0.0,0.0,non consigliato
davide biraschi,Genoa,D,0.0471355327755303,0.0142,0.0611,non consigliato
luca marianucci,Empoli,D,0.0470053241214543,0.0,0.0,non consigliato
petar stojanovic,Empoli,D,0.0470053241214543,0.0,0.0,non consigliato
saba goglichidze,Empoli,D,0.0470053241214543,0.0,0.0,non consigliato
antonio tikvic,Udinese,D,0.0470053241214543,0.0,0.0,non consigliato
axel guessand,Udinese,D,0.0470053241214543,0.0,0.0,non consigliato
james abankwah,Udinese,D,0.0470053241214543,0.0,0.0,non consigliato
gabriele guarino,Empoli,D,0.0470053241214543,0.0,0.0,non consigliato
enzo ebosse,Udinese,D,0.0470053241214543,0.0,0.0,non consigliato
samuel john nwachukwu,Udinese,D,0.0470053241214543,0.0,0.0,non consigliato
dodo,Fiorentina,D,0.0449219856562375,0.0,0.0,non consigliato
ruben vinagre,Verona,D,0.0442709423858572,0.0,0.0,non consigliato
fabien centonze,Verona,D,0.043880316423629,0.0,0.0,non consigliato
alan matturro,Genoa,D,0.0419271866124883,0.0,0.0,non consigliato
nicolo calabrese,Verona,D,0.0417969779584122,0.0,0.0,non consigliato
denis cazzadori,Verona,D,0.0417969779584122,0.0,0.0,non consigliato
silvan hefti,Genoa,D,0.0417969779584122,0.0,0.0,non consigliato
federico ceccherini,Verona,D,0.0417969779584122,0.0,0.0,non consigliato
christian dalle mura,Fiorentina,D,0.0417969779584122,0.0,0.0,non consigliato
christian corradi,Verona,D,0.0417969779584122,0.0,0.0,non consigliato
djed spence,Genoa,D,0.0407553087258038,0.0,0.0,non consigliato
christian kabasele,Udinese,D,0.0397136394931954,0.0213,0.0611,non consigliato
giorgio cittadini,Genoa,D,0.0391928048768912,0.0,0.0,non consigliato
pietro comuzzo,Fiorentina,D,0.0391928048768912,0.0,0.0,non consigliato
bruno amione,Verona,D,0.0372396750657505,0.0,0.0,non consigliato
kastriot dermaku,Lecce,D,0.0365886317953702,0.0,0.0,non consigliato
mats lemmens,Lecce,D,0.0365886317953702,0.0,0.0,non consigliato
zinedin smajlovic,Lecce,D,0.0365886317953702,0.0,0.0,non consigliato
lautaro gianetti,Udinese,D,0.036067797179066,0.0213,0.0611,non consigliato
ahmed touba,Lecce,D,0.0339844587138492,0.0,0.0,non consigliato
lorenzo venuti,Lecce,D,0.0332032067893929,0.0,0.0,non consigliato
emanuele valeri,Frosinone,D,0.0330729981353168,0.0,0.0,non consigliato
kevin bonifazi,Frosinone,D,0.0316407029404803,0.0,0.0,non consigliato
sergio kalaj,Frosinone,D,0.0313802856323282,0.0,0.0,non consigliato
przemyslaw szyminski,Frosinone,D,0.0313802856323282,0.0,0.0,non consigliato
anthony oyono,Frosinone,D,0.028385486588579,0.0,0.0,non consigliato
mateus lusuardi,Frosinone,D,0.0263021481233622,0.0,0.0,non consigliato
elio capradossi,Cagliari,D,0.0261719394692862,0.0,0.0,non consigliato
giorgio altare,Cagliari,D,0.0261719394692862,0.0,0.0,non consigliato
natan,Napoli,D,0.0261719394692861,0.0,0.0,non consigliato
